id,name,description,image_url,created_at,updated_at
1,Case Accessory,Case Accessory parts and accessories,,2025-06-25 11:15:29.641687,2025-06-25 11:15:29.641687
2,Case Fan,Case Fan parts and accessories,,2025-06-25 11:15:29.744524,2025-06-25 11:15:29.744524
3,Case,Case parts and accessories,,2025-06-25 11:15:30.359336,2025-06-25 11:15:30.359336
4,Cpu Cooler,Cpu Cooler parts and accessories,,2025-06-25 11:15:31.758939,2025-06-25 11:15:31.758939
5,Cpu,Cpu parts and accessories,,2025-06-25 11:15:32.153293,2025-06-25 11:15:32.153293
6,External Hard Drive,External Hard Drive parts and accessories,,2025-06-25 11:15:32.588479,2025-06-25 11:15:32.588479
7,Fan Controller,Fan Controller parts and accessories,,2025-06-25 11:15:32.699293,2025-06-25 11:15:32.699293
8,Headphones,Headphones parts and accessories,,2025-06-25 11:15:32.711656,2025-06-25 11:15:32.711656
9,Internal Hard Drive,Internal Hard Drive parts and accessories,,2025-06-25 11:15:33.531325,2025-06-25 11:15:33.531325
10,Keyboard,Keyboard parts and accessories,,2025-06-25 11:15:34.88216,2025-06-25 11:15:34.88216
11,Laptop,Laptop parts and accessories,,2025-06-25 11:15:35.764855,2025-06-25 11:15:35.764855
12,Memory,Memory parts and accessories,,2025-06-25 11:15:35.872773,2025-06-25 11:15:35.872773
13,Monitor,Monitor parts and accessories,,2025-06-25 11:15:38.451691,2025-06-25 11:15:38.451691
14,Motherboard,Motherboard parts and accessories,,2025-06-25 11:15:39.403314,2025-06-25 11:15:39.403314
15,Mouse,Mouse parts and accessories,,2025-06-25 11:15:40.475748,2025-06-25 11:15:40.475748
17,Os,Os parts and accessories,,2025-06-25 11:15:41.213512,2025-06-25 11:15:41.213512
18,Power Supply,Power Supply parts and accessories,,2025-06-25 11:15:41.232299,2025-06-25 11:15:41.232299
19,Software,Software parts and accessories,,2025-06-25 11:15:41.926045,2025-06-25 11:15:41.926045
20,Sound Card,Sound Card parts and accessories,,2025-06-25 11:15:41.972716,2025-06-25 11:15:41.972716
21,Speakers,Speakers parts and accessories,,2025-06-25 11:15:41.996063,2025-06-25 11:15:41.996063
22,Thermal Paste,Thermal Paste parts and accessories,,2025-06-25 11:15:42.053484,2025-06-25 11:15:42.053484
23,UPS,UPS parts and accessories,,2025-06-25 11:15:42.086496,2025-06-25 11:15:42.086496
24,Video Card,Video Card parts and accessories,,2025-06-25 11:15:42.306856,2025-06-25 11:15:42.306856
